phase,outcome,term,estimate,ci_low,ci_high,n_boot
point,FFD,entropy,8.362500054630205,,,
point,FFD,curvature,-0.039224124287027935,,,
point,FFD,coherence,21.918771009979594,,,
ci,FFD,entropy,,0.0,24.05750556286931,2000.0
ci,FFD,curvature,,-0.11719673135365954,0.0,2000.0
ci,FFD,coherence,,0.0,63.835347975099516,2000.0
point,GD,entropy,0.0,,,
point,GD,curvature,0.0,,,
point,GD,coherence,0.0,,,
ci,GD,entropy,,0.0,0.0,2000.0
ci,GD,curvature,,0.0,0.0,2000.0
ci,GD,coherence,,0.0,0.0,2000.0
point,TRT,entropy,0.007692721740191666,,,
point,TRT,curvature,0.714637256233016,,,
point,TRT,coherence,0.0007065620067415265,,,
ci,TRT,entropy,,0.007692721740191666,0.007692721740191666,2000.0
ci,TRT,curvature,,0.714637256233016,0.714637256233016,2000.0
ci,TRT,coherence,,0.0007065620067415265,0.0007065620067415265,2000.0
